Colour,Damage,White,Blue,Black,Red,Green
White,10,,,2,2,3
White,20,,,,5,
White,20,,,2,4,1
White,10,2,3,,3,
White,20,,,3,5,
White,30,6,,1,,
Blue,10,,2,,3,2
Blue,10,,2,3,,3
Blue,30,,6,,,1
Blue,20,,5,,,
Blue,20,5,3,,,
Blue,20,2,,4,1,
Black,30,1,,6,,
Black,20,5,,,,
Black,10,3,,2,,3
Black,20,,,,3,5
Black,10,3,2,,,2
Black,20,,1,,2,4
Red,20,,,5,,
Red,20,3,,5,,
Red,10,,3,3,2,
Red,20,1,4,,,2
Red,10,2,,3,2,
Red,30,,,6,1,
Green,10,3,,,3,2
Green,10,2,3,2,,5
Green,20,,,,,5
Green,20,,5,,,3
Green,30,,1,,,6
Green,20,4,2,,,
